molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL4533705,O=C1Nc2ccccc2/C1=C/c1cn(CC(O)Cn2c3ccccc3c(=O)c3ccccc32)c2ccccc12,100.0,Active,511.5810000000002,5.663200000000005,2,5,7.0
CHEMBL4581410,C[C@H](NC(=O)CNC(=O)c1cccc2c(=O)c3ccccc3[nH]c12)C(=O)O,670.0,Active,367.3610000000001,1.0003999999999988,4,4,6.173925197299173
CHEMBL4526073,CC(=O)c1c(C)n(Cc2ccccc2)c2ccc(OCCCC(=O)O)cc12,980000.0,Inactive,365.4290000000002,4.444220000000003,1,4,3.0087739243075053
CHEMBL139188,Nc1nc(N)c2nc(Nc3ccccc3)ccc2n1,1526.0,Intermediate,252.28100000000003,1.9328,3,6,5.816445466381138
CHEMBL4462778,Cc1ccc(Nc2ccc3nc(N)nc(N)c3n2)cc1,2626.0,Intermediate,266.308,2.2412199999999998,3,6,5.58070527824654
CHEMBL141218,COc1ccc(Nc2ccc3nc(N)nc(N)c3n2)cc1,2459.0,Intermediate,282.307,1.9414,3,7,5.609241471261283
CHEMBL4573954,Nc1nc(N)c2nc(Nc3ccc(O)cc3)ccc2n1,1576.0,Intermediate,268.28000000000003,1.6383999999999996,4,7,5.802443786846464
CHEMBL4449630,Nc1nc(N)c2nc(Nc3cccc4ccccc34)ccc2n1,1098.0,Intermediate,302.34100000000007,3.086000000000001,3,6,5.959397659885926
CHEMBL138419,Nc1nc(N)c2nc(Nc3ccc4ccccc4c3)ccc2n1,3185.0,Intermediate,302.34100000000007,3.086000000000001,3,6,5.496890563328631
CHEMBL4522334,Nc1nc(N)c2nc(Nc3ccc(F)c(F)c3)ccc2n1,2253.0,Intermediate,288.261,2.2109999999999994,3,6,5.647238808276169
CHEMBL4522888,Nc1nc(N)c2nc(Nc3cc(F)c(F)c(F)c3)ccc2n1,1808.0,Intermediate,306.251,2.3501000000000003,3,6,5.742801573860655
CHEMBL4469864,Nc1nc(N)c2nc(Nc3ccc(OC(F)(F)F)cc3)ccc2n1,4125.0,Intermediate,336.27700000000004,2.8314000000000004,3,7,5.384576047114056
CHEMBL140940,CN(c1ccccc1)c1ccc2nc(N)nc(N)c2n1,942.0,Active,266.30799999999994,1.9571,2,6,6.025949097207123
CHEMBL4571736,CCN(c1ccccc1)c1ccc2nc(N)nc(N)c2n1,1571.0,Intermediate,280.335,2.3471999999999995,2,6,5.803823814960027
CHEMBL4588482,CCCN(c1ccccc1)c1ccc2nc(N)nc(N)c2n1,1338.0,Intermediate,294.362,2.7373,2,6,5.873543886568196
CHEMBL4589761,CC(C)N(c1ccccc1)c1ccc2nc(N)nc(N)c2n1,1373.0,Intermediate,294.362,2.7357,2,6,5.8623294627632445
CHEMBL4440383,CCCCN(c1ccccc1)c1ccc2nc(N)nc(N)c2n1,903.0,Active,308.38900000000007,3.1274,2,6,6.044312249686494
CHEMBL4550110,Nc1ncc(N2CCN(c3cccc(-c4cnc(C5CC5)nc4)c3)CC2)c(N)n1,973.0,Active,388.4790000000002,2.302,2,8,6.011887159731648
CHEMBL4591892,Nc1ncc(N2CCN(c3cccc(-c4cnc(C(F)(F)F)nc4)c3)CC2)c(N)n1,2800.0,Intermediate,416.4110000000002,2.4434,2,8,5.552841968657781
CHEMBL4468777,COc1ncc(-c2cccc(N3CCN(c4cnc(N)nc4N)CC3)c2)cn1,308.0,Active,378.4400000000001,1.4331999999999996,2,9,6.511449283499556
CHEMBL4543226,Cc1ncc(-c2cccc(N3CCN(c4cnc(N)nc4N)CC3)c2)cn1,935.0,Active,362.4410000000001,1.7330199999999998,2,8,6.029188389127482
CHEMBL4464707,Nc1ncc(N2CCN(c3cccc(-c4ccnnc4)c3)CC2)c(N)n1,1100.0,Intermediate,348.41400000000016,1.4246,2,8,5.958607314841775
CHEMBL4466302,Nc1ncc(N2CCN(c3cccc(-c4cnccn4)c3)CC2)c(N)n1,1330.0,Intermediate,348.41400000000016,1.4246,2,8,5.876148359032914
CHEMBL4573445,Nc1ncc(N2CCN(c3cccc(-c4cncnc4)c3)CC2)c(N)n1,1430.0,Intermediate,348.41400000000016,1.4246,2,8,5.844663962534939
CHEMBL4584470,Nc1ncc(N2CCN(c3cccc(-c4ncccn4)c3)CC2)c(N)n1,1300.0,Intermediate,348.41400000000016,1.4246,2,8,5.886056647693163
